Japanese,English,tts_file
こんにちは、私はたけしです。高校生です。,"Hello, I am Takeshi. I am a high school student.",out_0b69cfc2960a4701a5a477cea902a47c.mp3
おはよう、私はメアリーです。アメリカから来ました。,"Good morning, I am Mary. I come from America.",out_f9f8a0c26b8a40e6aaa022dd593b8064.mp3
こんばんは、ロバートです。イギリスの大学生です。,"Good evening, I am Robert. I am a college student from Britain.",out_72cacc99911b4f3896a98c1eeb107f08.mp3
山下です。医者ですが、今は大学で教えています。,"I am Mr. Yamashita. I am a doctor, but now I am teaching at a university.",out_ef0e34b0997f48409a1c1c6c5fede7c3.mp3
すみません、今何時ですか？,"Excuse me, what time is it now?",out_b6dcd747c4f245eba7ab9ec6912cf360.mp3
いいえ、問題ありません。友達のメアリーです。,"No, not at all. I am Mary, a friend.",out_0ba7cbe8303d4ed190a4b89c2d7607cb.mp3
はじめまして、ロバートです。よろしくおねがいします。,"Nice to meet you, I am Robert. Please be kind to me.",out_d0fb7cf658f94e4798bf970edaa6bc29.mp3
山下は先生です。科学の専門です。,Mr. Yamashita is a teacher. His major is science.,out_3c1beab33e834bb1979b7a5cb1d5d29d.mp3
あの、英語の番号は何ですか？,"Um, what is the English number?",out_2126bc791aeb4d6b9cbc5af6bebac369.mp3
日本の高校で留学生です。,I am an international student at a high school in Japan.,out_799c03af712f4df2be8f0e950cef9d1e.mp3
